"lon","lat"
-128.009678,51.54908
-128.039261,50.795025
-128.039185,50.794945
-128.041885,50.797256
-128.042007,50.797199
-128.022257,51.601068
-128.022064,51.600733
-128.014102,51.59078
-128.009438,51.548992
-128.039186,50.794987
-131.849733,52.702766
-128.0474,50.785494
-127.857098,50.778915
-128.042664,50.799137
-135.288705,56.889525
-128.008828,52.15207
-128.008263,52.151857
-128.008308,52.151882
-128.00766,52.153267
-128.042108,50.796807
-128.040222,50.79554
-128.042222,50.79671
-128.040588,50.796677
-128.036694,50.79399
-128.040955,50.796722
-128.035167,50.794932
-128.042633,50.796944
-128.008835,52.152016
-128.008453,52.152046
-128.008453,52.152027
-128.007721,52.153301
-128.007584,52.153202
-128.140882,50.681618
-128.197257,50.617375
-128.094347,51.636398
-128.094355,51.636392
-128.0988,51.638408
-128.09436,51.63633
-128.169496,51.747314
-128.094559,51.636501
-128.096893,51.636242
-128.095428,51.634476
-128.061752,51.660419
15.87487,68.462016
6.800158,61.871363
21.57109,69.89058
24.040873,54.852899
-20.634409,74.466174
21.57777,69.89715
25.76948,71.15727
21.12158,69.36295
11.6785,1.3304
11.5281,0.7987
-132.053004,52.925296
-150.1848,62.0008
18.265105,49.723604
17.388731,49.307051
177.87241,64.6968
150.3856,59.713
-48.45301,-25.6694
-53.46247,69.26518
-45.4068,61.16246
-51.72695,64.18187
-132.815833,55.43665
42.5283,42.9703
-149.6002,59.7632
-149.6,59.76
17.5023,67.593883
17.7235,67.6871
17.697583,67.690183
17.672917,67.692917
17.4862,67.5963
17.4566,67.59775
18.829433,67.88015
18.846583,67.8789
18.677583,68.356167
18.7021,68.35475
18.361283,68.399233
18.384083,68.383767
18.453167,68.394117
18.463183,68.410683
18.428367,68.41125
18.379633,68.4161
98.887,18.833
-133.56644,56.57593
11.94881,78.92107
98.45486,27.75522
24.03,68.06
-149.62755,59.74353
138.2043,36.0304
138.2046,36.0343
-132.9182,53.5848
-132.88,52.5423
98.45356,27.69469
-166.47,53.83
98.453056,27.695278
98.456389,27.695278
98.452778,27.695278
98.453611,27.694722
98.45,27.69
98.694167,27.200833
98.46,27.75
98.48,27.99
-124,50.2
98.7,27.2
138.32,36.08
138.19,36.511111
138,36
138.3,36.1
138.317,36.0833
138.31667,36.08333
138.316667,36.083333
98.43,27.71
-176.6778,51.8256
120.93,23.45
173.15,52.83
-145.733333,60.566667
-145.383333,60.55
-145.733333,60.6
-124.08333,49.78333
-132.5,53.1
-176.68,51.82
-176.714483,51.839117
-176.683333,51.816667
-176.6777,51.83027
-176.721167,51.848317
-176.6311,51.8297
101,24
98.78333,28.4
98.783333,28.4
-176.62854,51.765308
-128.1,51.63333
-129.133333,52.916667
-128.833333,52.916667
-128.1,51.633333
-129.633333,53.3
-128.3,52.6
-129.6,53.3
-128.1,51.6
-128.1,51.6333
-129.13,52.92
-129.633,53.3
-129.133,52.9167
-129.1,52.9
-132.0013325,52.999622
-132,52.75
-132,52.8
-132.333333,53.25
-132.1,53.1
-132,53
-131.8,52.5
-132,53.1
-132.4,53.2
-132.9,53.6
-132.095158,53.014014
-131.8,52.6
-132.1,52.8
-125.833333,49.666667
-127.666667,50.166667
-127.8,50.2
-127.7,50.2
-127.667,50.1667
-127.75,50.1667
-127.75,50.166667
-132.083333,53.25
-132,52
-129.9,53.7
-130.2,53.8
-129.766667,54.2
-129.833333,53.666667
-129.916667,53.666667
-129.917,53.6667
-123.983,50.2
-123.983333,50.2
-132.917,53.5833
-132.916667,53.583333
137.759103,36.761488
138.04553,36.13213
-124,50.166667
-124.2,49.8
-131.766667,50.633333
-131.766667,52.616667
-131.7,52.6
-131.4,52.4
-131.767,50.6333
142.819996,43.705689
-126.533333,51
-126.199313,50.95
-127.861111,52.060833
-126.5,51
-127.8727,52.0476
-126.533,51
-126.33333,50.93333
-127.9,52.1
-126.53,51
-130.666667,53.5
-130.667,53.5
-130.7,53.5
-123.978056,50.197222
-123.98,50.2
-123.98333,50.2
-132.2,52.8
-132.43,56.28
-132.360278,56.097778
-132.49444,56.26722
-164.9,62.67
-135.3574,57.08833
-162.82,61.13
-134.83,57.09
-135.33,57.053056
178.618611,51.640833
-132.55,53.25
-132.92198,53.589286
-132.6,53.3
-132.1,53
-132.083333,52.983333
-132.0333,52.75
-135.031664,56.889492
-135,56.9
-150.6,61.42
-134.9,56.6
-132.083,52.9833
-132.08,52.98
-131.7,52.5
-132.25,52.833333
-131.75,52.583333
-132,52.7
-131.833333,52.583333
-132,52.666667
-132.5,53.3
-132.25,52.83
-132,52.6667
-131.833,52.5833
-132.25,52.8333
-128.133,51.6667
-128.133333,51.666667
-128.13333,51.66667
-128.016667,51.65
-127.133333,51.666667
-128.1,51.7
-128.13,51.66
-132.5,59.866667
-128,51.6
-119.35,50.15
-128.005493,51.591865
-131.8,52.7
-131.75,52.616667
-132.5,53.2
-131.5,52.7
-132.083,53.1333
-132.1,52.9
-132.083333,53.133333
-132.1666,53.08333
-132.483333,53.183333
-132.478435,53.223585
-132.52004,53.199849
-132.483,53.1833
-132.48,53.18
-132.48333,53.18333
-132.483333,53.166667
-2.02,40.34
137.75859,36.758718
137.7587,36.758145
-132.05,52.9167
137.29306,34.65917
-131.833333,52.75
137.762272,36.759462
137.46935,36.767387
